Start,StartLocation,StIvesNorthbound,BostonNorthbound,LouthNorthbound,HessleNorthbound,MaltonNorthbound,BarnardCastleNorthbound,BramptonNorthbound,MoffatNorthbound,Dunfermline,InnerleithenSouthbound,EskdalemuirSouthbound,BramptonSouthbound,BarnardCastleSouthbound,MaltonSouthbound,HessleSouthbound,LouthSouthbound,BostonSouthbound,StIvesSouthbound,GreatEastonSouthbound,DebdenFinish
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:24:00Z,2022-08-07T13:43:00Z,2022-08-07T16:12:00Z,2022-08-07T19:21:00Z,2022-08-08T01:38:00Z,2022-08-08T11:01:00Z,2022-08-08T14:49:00Z,2022-08-08T19:54:00Z,2022-08-08T23:54:00Z,2022-08-09T07:38:00Z,2022-08-09T10:09:00Z,2022-08-09T14:34:00Z,2022-08-09T20:06:00Z,2022-08-09T23:31:00Z,2022-08-10T07:56:00Z,2022-08-10T10:26:00Z,2022-08-10T14:19:00Z,2022-08-10T17:38:00Z,2022-08-10T19:41:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:05:00Z,2022-08-07T13:12:00Z,2022-08-07T15:56:00Z,2022-08-07T19:32:00Z,2022-08-08T06:49:00Z,2022-08-08T15:57:00Z,,,,,2022-08-08T15:57:00Z,2022-08-09T04:25:10Z,2022-08-10T18:23:53Z,2022-08-11T05:36:58Z,2022-08-11T16:17:23Z,2022-08-12T02:39:00Z,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:13:00Z,2022-08-07T11:03:00Z,2022-08-07T13:01:00Z,2022-08-07T15:18:00Z,2022-08-07T19:01:00Z,2022-08-08T00:26:00Z,2022-08-08T10:11:00Z,2022-08-08T14:06:00Z,2022-08-08T19:57:00Z,2022-08-09T08:55:00Z,2022-08-09T11:43:00Z,2022-08-09T14:24:00Z,2022-08-09T19:41:00Z,2022-08-10T03:03:00Z,2022-08-10T10:09:00Z,2022-08-10T14:20:00Z,2022-08-10T17:26:00Z,2022-08-10T22:39:00Z,2022-08-11T03:52:00Z,2022-08-11T08:05:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:04:00Z,2022-08-07T13:01:00Z,2022-08-07T15:35:00Z,2022-08-07T18:41:00Z,2022-08-08T00:04:00Z,2022-08-08T05:00:00Z,2022-08-08T11:09:00Z,2022-08-08T16:30:00Z,2022-08-08T21:01:00Z,2022-08-08T23:45:00Z,2022-08-09T03:12:00Z,2022-08-09T11:04:00Z,2022-08-09T16:37:00Z,2022-08-09T20:34:00Z,2022-08-10T00:06:00Z,2022-08-10T02:51:00Z,2022-08-10T08:04:00Z,2022-08-10T12:53:00Z,2022-08-10T16:01:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:05:00Z,2022-08-07T13:14:00Z,2022-08-07T16:01:00Z,2022-08-07T19:00:00Z,2022-08-08T00:22:00Z,2022-08-08T09:54:00Z,2022-08-08T14:11:00Z,2022-08-08T20:06:00Z,2022-08-09T07:42:00Z,2022-08-09T10:34:00Z,2022-08-09T13:28:00Z,2022-08-09T18:20:00Z,2022-08-10T00:35:00Z,2022-08-10T09:14:00Z,2022-08-10T12:43:00Z,2022-08-10T15:40:00Z,2022-08-10T20:05:00Z,2022-08-10T23:55:00Z,2022-08-11T02:25:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:04:00Z,2022-08-07T12:52:00Z,2022-08-07T14:49:00Z,2022-08-07T17:28:00Z,2022-08-07T21:58:00Z,2022-08-08T01:27:00Z,2022-08-08T05:09:00Z,2022-08-08T10:24:00Z,2022-08-08T14:28:00Z,2022-08-08T17:00:00Z,2022-08-08T19:30:00Z,2022-08-09T02:02:00Z,2022-08-09T07:05:00Z,2022-08-09T10:20:00Z,2022-08-09T12:53:00Z,2022-08-09T15:26:00Z,2022-08-09T19:05:00Z,2022-08-09T22:17:00Z,2022-08-10T00:17:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:03:00Z,2022-08-07T12:57:00Z,2022-08-07T15:18:00Z,2022-08-07T19:00:00Z,2022-08-08T00:25:00Z,2022-08-08T10:01:00Z,,,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:26:00Z,2022-08-07T11:47:00Z,2022-08-07T14:40:06Z,2022-08-07T17:47:00Z,2022-08-07T21:36:00Z,2022-08-08T06:04:00Z,2022-08-08T12:35:00Z,2022-08-08T16:46:00Z,2022-08-08T22:53:00Z,2022-08-09T10:02:00Z,2022-08-09T13:01:00Z,2022-08-09T16:16:00Z,2022-08-09T21:46:00Z,2022-08-10T04:55:00Z,2022-08-10T13:24:00Z,2022-08-10T17:09:00Z,2022-08-10T20:01:00Z,2022-08-11T01:35:00Z,2022-08-11T06:40:00Z,2022-08-11T08:31:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:29:44Z,2022-08-07T13:17:00Z,2022-08-07T16:09:00Z,2022-08-07T19:22:00Z,2022-08-08T01:39:00Z,2022-08-08T11:00:00Z,2022-08-08T14:50:00Z,2022-08-08T20:39:31Z,2022-08-09T01:08:00Z,2022-08-09T07:13:00Z,2022-08-09T10:09:00Z,2022-08-09T15:15:00Z,2022-08-09T20:48:00Z,2022-08-10T01:10:00Z,2022-08-10T07:44:00Z,2022-08-10T10:36:00Z,2022-08-10T14:53:00Z,2022-08-10T18:47:00Z,2022-08-10T21:46:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:45:00Z,2022-08-07T12:06:00Z,2022-08-07T14:25:00Z,2022-08-07T16:57:00Z,2022-08-07T20:13:00Z,2022-08-08T08:56:00Z,2022-08-08T14:42:00Z,2022-08-08T18:58:00Z,2022-08-09T09:51:00Z,2022-08-09T14:55:00Z,2022-08-09T18:36:00Z,2022-08-10T08:39:00Z,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:11:00Z,2022-08-07T11:21:00Z,2022-08-07T14:00:00Z,2022-08-07T17:15:00Z,2022-08-07T22:17:00Z,2022-08-08T08:57:00Z,2022-08-08T14:33:00Z,2022-08-08T17:59:00Z,2022-08-09T00:31:00Z,2022-08-09T10:50:00Z,2022-08-09T13:34:00Z,2022-08-09T16:55:00Z,2022-08-09T21:59:00Z,2022-08-10T10:32:00Z,2022-08-10T14:53:00Z,2022-08-10T18:59:00Z,2022-08-10T21:51:00Z,2022-08-11T03:37:00Z,2022-08-11T07:22:00Z,2022-08-11T09:38:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:13:00Z,2022-08-07T11:36:00Z,2022-08-07T14:21:00Z,2022-08-07T17:14:00Z,2022-08-07T20:56:00Z,2022-08-08T08:03:00Z,2022-08-08T14:29:00Z,2022-08-08T18:35:00Z,2022-08-09T01:31:00Z,2022-08-09T09:57:00Z,2022-08-09T12:59:00Z,2022-08-09T16:28:00Z,2022-08-09T22:42:00Z,2022-08-10T09:58:00Z,2022-08-10T15:03:00Z,2022-08-10T19:09:00Z,2022-08-10T22:03:00Z,2022-08-11T04:36:00Z,2022-08-11T09:35:00Z,2022-08-11T12:36:00Z
